ID,Title,Price,Currency,Available Quantity,Sold Quantity,Permalink,Brand ID,Brand Value,Units per Pack ID,Units per Pack Value,GTIN ID,GTIN Value,Seller ID,Seller Nickname,Installments Quantity,Installments Amount,Installments Rate,Installments Currency ID
MLB3671770893,Refil Filtro Soft Everest Star / Fit /plus Pure Flow Wfs008,46.5,BRL,1,,https://www.mercadolivre.com.br/refil-filtro-soft-everest-star-fit-plus-pure-flow-wfs008/p/MLB27774052,BRAND,WATER FILTER SOLUTION,UNITS_PER_PACK,1,GTIN,7899506753595,1415874774,MARQUEZVARIEDADES,12,4.51,16.34,BRL
MLB4226254280,Refil Filtro Vela Policarbon Purifika Compat C/ Soft Everest,33.15,BRL,1,,https://produto.mercadolivre.com.br/MLB-4226254280-refil-filtro-vela-policarbon-purifika-compat-c-soft-everest-_JM,BRAND,Policarbon,,,,,471334924,TENDTUDOPRINCESINHA,12,3.21,16.34,BRL
MLB3586226459, 2 Refil Purifika Compatível Everest + 2 Metros De Mangueira,99.75,BRL,1,,https://produto.mercadolivre.com.br/MLB-3586226459-2-refil-purifika-compativel-everest-2-metros-de-mangueira-_JM,BRAND,Policarbon compatível everest,UNITS_PER_PACK,1,,,267349645,MAGAZINE LIMAPORTES,12,9.7,16.64,BRL
MLB3558854727,Refil Filtro Pró Life Compatível Soft Everest- Todos Modelos,39.76,BRL,1,,https://produto.mercadolivre.com.br/MLB-3558854727-refil-filtro-pro-life-compativel-soft-everest-todos-modelos-_JM,BRAND,Planeta Água,UNITS_PER_PACK,1,GTIN,7898614781995,609475751,PLANETA_DAGUA,3,13.25,0,BRL
MLB3449466803,Kit 4 Vela Filtro Purifika Compativel Com Soft Everest 2x1,113.99,BRL,5000,,https://produto.mercadolivre.com.br/MLB-3449466803-kit-4-vela-filtro-purifika-compativel-com-soft-everest-2x1-_JM,BRAND,Policarbon,UNITS_PER_PACK,4,,,471334924,TENDTUDOPRINCESINHA,12,11.08,16.64,BRL
MLB3344109585,"Kit 2 Refil Filtro Para Purificador Soft Everest Baby, Fit",69.52,BRL,1,,https://produto.mercadolivre.com.br/MLB-3344109585-kit-2-refil-filtro-para-purificador-soft-everest-baby-fit-_JM,BRAND,Acquabios Compativel Com Modelo Soft Everest Merca Acquabios Soft Everest ; - PLUS - STAR - SLIM - FIT – BABY,UNITS_PER_PACK,2,GTIN,7891609315106,805981488,MHCSTORE,12,6.76,16.64,BRL
MLB3050101250,Pré Filtro Refil Original Soft Everest Envio Imediato ,34.95,BRL,250,,https://produto.mercadolivre.com.br/MLB-3050101250-pre-filtro-refil-original-soft-everest-envio-imediato-_JM,BRAND,Soft Everest,,,GTIN,7898585363787,315117650,CLARITTY,3,11.65,0,BRL
MLB2767392184,Refil Filtro Hf-sft Para Purificador De Água Soft Everest,52.59,BRL,1,,https://produto.mercadolivre.com.br/MLB-2767392184-refil-filtro-hf-sft-para-purificador-de-agua-soft-everest-_JM,BRAND,Hidrofiltros,UNITS_PER_PACK,1,GTIN,7896811128889,145126223,H2O PURIFICADORES,12,5.11,16.64,BRL
MLB3201415734,Refis Soft Everest - Original - Kit Mangueira Envio Imediato,115.9,BRL,50,,https://produto.mercadolivre.com.br/MLB-3201415734-refis-soft-everest-original-kit-mangueira-envio-imediato-_JM,BRAND,Soft,,,GTIN,7898077620336,315117650,CLARITTY,3,38.63,0,BRL
MLB1485687038,Filtro Para Máquina De Gelo  Soft Everest -carvão Ativado  ,157.5,BRL,5000,,https://produto.mercadolivre.com.br/MLB-1485687038-filtro-para-maquina-de-gelo-soft-everest-carvo-ativado-_JM,BRAND,EF -,UNITS_PER_PACK,1,,,47024000,MUNDIAL FILTROS.,12,15.31,16.64,BRL
